entity,code,year_value,other_portion,alcohol_portion,sugar_portion,dairy_eggs_portion,fruit_vegetables_portion,starchy_roots_portion,pulses_portion,cereals_grains_portion,oils_fats_portion,meat_portion,total_kilocalories,share_obese_adults
Maldives,MDV,2011,0.028,0.008,0.12654545454545454,0.08218181818181818,0.05745454545454545,0.01709090909090909,0.010545454545454545,0.39054545454545453,0.10109090909090909,0.17854545454545453,2750,5.5
Maldives,MDV,2012,0.0357669616519174,0.00663716814159292,0.12168141592920353,0.08443952802359882,0.07190265486725664,0.017699115044247787,0.011430678466076696,0.400811209439528,0.06932153392330384,0.18030973451327434,2712,5.9
Maldives,MDV,2013,0.03367496339677892,0.006954612005856516,0.10651537335285505,0.08931185944363104,0.07174231332357248,0.016105417276720352,0.012079062957540264,0.3945827232796486,0.07430453879941434,0.19472913616398244,2732,6.3
Mali,MLI,1975,0.00536480686695279,0.003218884120171674,0.023605150214592276,0.0611587982832618,0.021995708154506438,0.01072961373390558,0.023068669527896997,0.651824034334764,0.15182403433476394,0.04721030042918455,1864,0.8
Mali,MLI,1976,0.006535947712418301,0.0032679738562091504,0.03594771241830065,0.06318082788671024,0.02287581699346405,0.008714596949891068,0.023420479302832243,0.6519607843137255,0.13344226579520696,0.05065359477124183,1836,0.8
Mali,MLI,1977,0.0062678062678062675,0.003418803418803419,0.017663817663817662,0.06723646723646724,0.02507122507122507,0.007407407407407408,0.023931623931623933,0.6558404558404558,0.1378917378917379,0.05527065527065527,1755,0.9
Mali,MLI,1978,0.00842358604091456,0.0030084235860409147,0.019253910950661854,0.07460890493381468,0.027677496991576414,0.006618531889290012,0.0246690734055355,0.6570397111913358,0.11732851985559567,0.061371841155234655,1662,1
Mali,MLI,1979,0.007945516458569807,0.0028376844494892167,0.026674233825198637,0.06980703745743473,0.026106696935300794,0.0056753688989784334,0.022701475595913734,0.6833144154370034,0.09875141884222474,0.05618615209988649,1762,1
Mali,MLI,1980,0.007151370679380214,0.0023837902264600714,0.037544696066746125,0.07747318235995232,0.02800953516090584,0.0059594755661501785,0.023837902264600714,0.6454112038140644,0.11263408820023837,0.05959475566150179,1678,1.1
Mali,MLI,1981,0.008109794135995009,0.002495321272613849,0.026824703680598878,0.08234560199625701,0.03056768558951965,0.006238303181534623,0.021834061135371178,0.6487835308796007,0.11041796631316282,0.06238303181534623,1603,1.1
